track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	Coldspot_0.01	0	61913.1900	0.0000	178886.0000	46331.2223	0.0000	-15.9180	8.0000e-02	1.6000e-01	20	2334528	8.6500e-02	10389	71299683	2.6418e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	Coldspot_0.001	0	6324.5600	0.0000	49650.0000	15689.3295	0.0002	-12.6270	7.7000e-01	7.7000e-01	20	2334528	8.6500e-02	1038	12194602	4.5184e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	Hotspot_0.999	0	381.6200	0.0000	1346.0000	690.8202	0.0026	-8.5798	6.7000e-01	7.7000e-01	20	2334528	8.6500e-02	1039	446725	1.6552e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	Coldspot_0.1	149557	459770.5600	276629.0000	685580.0000	120707.7825	0.3253	-1.6202	1.0000e-02	6.0000e-02	20	2334528	8.6500e-02	103896	558914693	2.0709e+01	26	149557	5.5414e-03	130.0000	6.4063	0.0250	0.0268
merged	Hotspot_0.99	6383	5513.9100	1191.0000	12704.0000	3312.5424	1.1576	0.2111	3.0000e-01	4.5000e-01	20	2334528	8.6500e-02	10390	5567094	2.0627e-01	11	6383	2.3651e-04	55.0000	0.2734	0.1059	0.1147
merged	Hotspot_0.9	108440	71528.4300	37098.0000	115531.0000	23348.5195	1.5160	0.6003	6.0000e-02	1.6000e-01	20	2334528	8.6500e-02	103891	80956273	2.9996e+00	187	108440	4.0180e-03	935.0000	4.6451	0.1800	0.1339
