track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNHinvs	Hotspot_0.9	1345	9591.4400	1294.0000	22130.0000	5974.4058	0.1403	-2.8332	6.0000e-02	1.2000e-01	29	187085	6.6192e-03	85181	147208246	5.2083e+00	1	1345	4.7587e-05	3.4483	0.7189	0.0012	0.0009
HFNHinvs	Coldspot_0.1	118678	64064.2000	38326.0000	91444.0000	16521.8436	1.8525	0.8895	1.0000e-02	6.0000e-02	29	187085	6.6192e-03	85162	855303584	3.0261e+01	10	118678	4.1989e-03	34.4828	63.4353	0.0117	0.0139
HFno501invs	Hotspot_0.99	0	10735.1800	3048.0000	20252.0000	4956.1001	0.0001	-13.3902	1.0000e-02	3.0000e-02	56	3384937	1.1976e-01	8518	8057649	2.8508e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	Hotspot_0.999	0	642.5300	0.0000	2658.0000	902.8418	0.0016	-9.3299	4.2000e-01	4.2000e-01	56	3384937	1.1976e-01	852	441389	1.5617e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	Hotspot_0.9	27492	194528.0300	148807.0000	257397.0000	31319.4512	0.1413	-2.8228	1.0000e-02	3.0000e-02	56	3384937	1.1976e-01	85181	147208246	5.2083e+00	11	27492	9.7268e-04	19.6429	0.8122	0.0129	0.0187
HFno501invs	Coldspot_0.01	181058	251040.9600	115494.0000	422307.0000	91112.7762	0.7212	-0.4715	2.3000e-01	3.4500e-01	56	3384937	1.1976e-01	8500	231711737	8.1981e+00	7	181058	6.4059e-03	12.5000	5.3489	0.0824	0.0781
HFno501invs	Coldspot_0.001	79116	76314.0200	10267.0000	188834.0000	52692.4876	1.0367	0.0520	3.9000e-01	4.2000e-01	56	3384937	1.1976e-01	834	61111167	2.1621e+00	3	79116	2.7992e-03	5.3571	2.3373	0.3597	0.1295
HFno501invs	Coldspot_0.1	1020357	856695.3100	702894.0000	1048219.0000	99108.3620	1.1910	0.2522	5.0000e-02	1.0000e-01	56	3384937	1.1976e-01	85162	855303584	3.0261e+01	42	1020357	3.6101e-02	75.0000	30.1440	0.0493	0.1193
invs	Hotspot_0.999	266	2248.0900	249.0000	4571.0000	1438.7133	0.1187	-3.0744	6.0000e-02	7.2000e-02	130	12755754	4.5131e-01	852	441389	1.5617e-02	2	266	9.4112e-06	1.5385	0.0021	0.2347	0.0603
invs	Hotspot_0.99	13039	35183.2200	20611.0000	51514.0000	8689.2150	0.3706	-1.4320	1.0000e-02	1.5000e-02	130	12755754	4.5131e-01	8518	8057649	2.8508e-01	21	13039	4.6133e-04	16.1538	0.1022	0.2465	0.1618
