track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNHinvs	Hotspot_0.9	1345	8847.9500	1392.0000	19929.0000	5925.0518	0.1521	-2.7168	5.0000e-02	1.0000e-01	29	187085	6.6192e-03	85185	147208246	5.2083e+00	1	1345	4.7587e-05	3.4483	0.7189	0.0012	0.0009
HFNHinvs	Coldspot_0.1	118678	64844.1700	38813.0000	95121.0000	16957.2730	1.8302	0.8720	1.0000e-02	3.0000e-02	29	187085	6.6192e-03	85177	855303584	3.0261e+01	10	118678	4.1989e-03	34.4828	63.4353	0.0117	0.0139
HFno501invs	Hotspot_0.99	0	8667.5800	2150.0000	17334.0000	4679.6983	0.0001	-13.0816	1.0000e-02	3.0000e-02	56	3384937	1.1976e-01	8518	8057649	2.8508e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	Hotspot_0.999	0	643.0600	0.0000	3123.0000	974.7707	0.0016	-9.3311	4.3000e-01	4.3000e-01	56	3384937	1.1976e-01	852	441389	1.5617e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	Hotspot_0.9	27492	173939.3000	106976.0000	242527.0000	40048.8506	0.1581	-2.6615	1.0000e-02	3.0000e-02	56	3384937	1.1976e-01	85185	147208246	5.2083e+00	11	27492	9.7268e-04	19.6429	0.8122	0.0129	0.0187
HFno501invs	Coldspot_0.001	79116	150723.4000	29898.0000	541150.0000	139540.6491	0.5249	-0.9299	2.9000e-01	3.8400e-01	56	3384937	1.1976e-01	836	61111167	2.1621e+00	3	79116	2.7992e-03	5.3571	2.3373	0.3589	0.1295
HFno501invs	Coldspot_0.01	181058	335600.6000	178383.0000	684142.0000	157800.0546	0.5395	-0.8903	6.0000e-02	1.2000e-01	56	3384937	1.1976e-01	8505	231711737	8.1981e+00	7	181058	6.4059e-03	12.5000	5.3489	0.0823	0.0781
HFno501invs	Coldspot_0.1	1020357	977243.7700	737178.0000	1334155.0000	186413.0624	1.0441	0.0623	3.2000e-01	3.8400e-01	56	3384937	1.1976e-01	85177	855303584	3.0261e+01	42	1020357	3.6101e-02	75.0000	30.1440	0.0493	0.1193
invs	Hotspot_0.999	266	2300.0800	428.0000	4816.0000	1320.7898	0.1160	-3.1074	1.0000e-02	1.0000e-02	130	12755754	4.5131e-01	852	441389	1.5617e-02	2	266	9.4112e-06	1.5385	0.0021	0.2347	0.0603
invs	Hotspot_0.99	13039	37361.0400	23218.0000	54067.0000	9149.6014	0.3490	-1.5186	1.0000e-02	1.0000e-02	130	12755754	4.5131e-01	8518	8057649	2.8508e-01	21	13039	4.6133e-04	16.1538	0.1022	0.2465	0.1618
invs	Hotspot_0.9	489519	757839.4700	642820.0000	903120.0000	78805.3529	0.6459	-0.6305	1.0000e-02	1.0000e-02	130	12755754	4.5131e-01	85185	147208246	5.2083e+00	253	489519	1.7319e-02	194.6154	3.8376	0.2970	0.3325
invs	Coldspot_0.1	3750952	2987411.0800	2574410.0000	3475614.0000	294099.5047	1.2556	0.3284	1.0000e-02	1.0000e-02	130	12755754	4.5131e-01	85177	855303584	3.0261e+01	226	3750952	1.3271e-01	173.8462	29.4060	0.2653	0.4386
invs	Coldspot_0.01	1732973	896181.7600	521662.0000	1374331.0000	245660.6828	1.9337	0.9514	1.0000e-02	1.0000e-02	130	12755754	4.5131e-01	8505	231711737	8.1981e+00	20	1732973	6.1314e-02	15.3846	13.5858	0.2352	0.7479
invs	Coldspot_0.001	1260859	436274.8000	141948.0000	829790.0000	205756.0433	2.8901	1.5311	1.0000e-02	1.0000e-02	130	12755754	4.5131e-01	836	61111167	2.1621e+00	6	1260859	4.4610e-02	4.6154	9.8846	0.7177	2.0632
LFinvs	Hotspot_0.99	2870	11793.1400	3988.0000	24928.0000	5924.8309	0.2434	-2.0384	2.0000e-02	3.0000e-02	75	3748768	1.3263e-01	8518	8057649	2.8508e-01	6	2870	1.0154e-04	8.0000	0.0766	0.0704	0.0356
LFinvs	Hotspot_0.999	238	725.0700	0.0000	2688.0000	888.3240	0.3292	-1.6031	4.5000e-01	4.5000e-01	75	3748768	1.3263e-01	852	441389	1.5617e-02	1	238	8.4206e-06	1.3333	0.0063	0.1174	0.0539
LFinvs	Hotspot_0.9	100646	220386.7300	146981.0000	307663.0000	52181.1928	0.4567	-1.1307	1.0000e-02	2.0000e-02	75	3748768	1.3263e-01	85185	147208246	5.2083e+00	54	100646	3.5609e-03	72.0000	2.6848	0.0634	0.0684
LFinvs	Coldspot_0.1	1009279	933412.8100	713079.0000	1247795.0000	154313.4802	1.0813	0.1127	2.9000e-01	3.4800e-01	75	3748768	1.3263e-01	85177	855303584	3.0261e+01	87	1009279	3.5709e-02	116.0000	26.9230	0.1021	0.1180
LFinvs	Coldspot_0.01	521664	241561.9500	120964.0000	399603.0000	83965.6027	2.1595	1.1107	1.0000e-02	2.0000e-02	75	3748768	1.3263e-01	8505	231711737	8.1981e+00	10	521664	1.8457e-02	13.3333	13.9156	0.1176	0.2251
LFinvs	Coldspot_0.001	330052	75929.7800	8271.0000	170587.0000	54473.4440	4.3468	2.1199	1.0000e-02	2.0000e-02	75	3748768	1.3263e-01	836	61111167	2.1621e+00	1	330052	1.1677e-02	1.3333	8.8043	0.1196	0.5401
LFNAHRinvs	Coldspot_0.001	0	44517.6500	0.0000	143199.0000	47133.4999	0.0000	-15.4421	2.0000e-01	3.0000e-01	25	2585723	9.1484e-02	836	61111167	2.1621e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHRinvs	Hotspot_0.999	0	416.1500	0.0000	1520.0000	546.2581	0.0024	-8.7044	4.7000e-01	4.7000e-01	25	2585723	9.1484e-02	852	441389	1.5617e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHRinvs	Hotspot_0.99	2520	7389.2000	956.0000	16753.0000	5059.8581	0.3411	-1.5516	1.4000e-01	2.8000e-01	25	2585723	9.1484e-02	8518	8057649	2.8508e-01	4	2520	8.9159e-05	16.0000	0.0975	0.0470	0.0313
LFNAHRinvs	Hotspot_0.9	74964	142193.8500	90402.0000	204588.0000	36302.5373	0.5272	-0.9236	2.0000e-02	1.2000e-01	25	2585723	9.1484e-02	85185	147208246	5.2083e+00	38	74964	2.6523e-03	152.0000	2.8992	0.0446	0.0509
