track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNHinvs	Coldspot_0.1	130063	62226.9000	34753.0000	94739.0000	18045.0989	2.0901	1.0636	1.0000e-02	2.0000e-02	27	181549	6.7788e-03	83373	770018278	2.8751e+01	11	130063	4.8564e-03	40.7407	71.6407	0.0132	0.0169
HFNHinvs	Coldspot_0.01	93232	22043.7400	3310.0000	42097.0000	12089.1189	4.2293	2.0804	1.0000e-02	2.0000e-02	27	181549	6.7788e-03	8326	204658289	7.6416e+00	1	93232	3.4812e-03	3.7037	51.3536	0.0120	0.0456
HFno501invs	Coldspot_0.001	0	93477.8800	2423.0000	461784.0000	125218.4833	0.0000	-16.5124	1.0000e-02	2.0000e-02	45	2693089	1.0056e-01	818	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	Hotspot_0.99	0	5878.1500	1032.0000	13325.0000	3540.9533	0.0002	-12.5214	1.0000e-02	2.0000e-02	45	2693089	1.0056e-01	8338	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	Hotspot_0.999	0	304.6700	0.0000	1719.0000	530.0466	0.0033	-8.2558	5.4000e-01	6.4800e-01	45	2693089	1.0056e-01	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	Hotspot_0.9	18469	121951.3400	69059.0000	184960.0000	34525.6442	0.1515	-2.7231	1.0000e-02	2.0000e-02	45	2693089	1.0056e-01	83379	135028905	5.0418e+00	6	18469	6.8961e-04	13.3333	0.6858	0.0072	0.0137
HFno501invs	Coldspot_0.1	592584	676999.2400	461912.0000	1019436.0000	156896.0610	0.8753	-0.1921	3.3000e-01	4.9500e-01	45	2693089	1.0056e-01	83373	770018278	2.8751e+01	28	592584	2.2126e-02	62.2222	22.0039	0.0336	0.0770
HFno501invs	Coldspot_0.01	188417	197853.5600	77346.0000	561673.0000	137557.9268	0.9523	-0.0705	6.9000e-01	6.9000e-01	45	2693089	1.0056e-01	8326	204658289	7.6416e+00	3	188417	7.0352e-03	6.6667	6.9963	0.0360	0.0921
invs	Hotspot_0.999	266	2295.7600	667.0000	4776.0000	1159.9946	0.1163	-3.1047	1.0000e-02	1.2000e-02	114	11812711	4.4107e-01	834	469549	1.7532e-02	2	266	9.9321e-06	1.7544	0.0023	0.2398	0.0567
invs	Hotspot_0.99	11915	42932.7000	29164.0000	60436.0000	8700.4087	0.2775	-1.8492	1.0000e-02	1.2000e-02	114	11812711	4.4107e-01	8338	7648169	2.8557e-01	20	11915	4.4489e-04	17.5439	0.1009	0.2399	0.1558
