track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNHinvs	annotations_repeats.bed	0	8708.3940	0.0000	80886.0000	21993.6128	0.0001	-13.0884	1.9900e-01	1.9900e-01	27	181549	6.7788e-03	7024	118088047	4.4092e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNHinvs	annotations_repeats.bed	199824	254005.4450	16369.0000	515499.0000	167946.8158	0.7867	-0.3461	4.2300e-01	4.2300e-01	49	1151662	4.3001e-02	7024	118088047	4.4092e+00	15	199824	7.4611e-03	30.6122	17.3509	0.2136	0.1692
NHinvs	annotations_repeats.bed	199824	268050.5730	23375.0000	513861.0000	165508.2524	0.7455	-0.4238	4.0200e-01	4.0200e-01	76	1333211	4.9780e-02	7024	118088047	4.4092e+00	15	199824	7.4611e-03	19.7368	14.9882	0.2136	0.1692
