track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	Hotspot_0.99	2870	11608.6300	4040.0000	21555.0000	5594.6601	0.2473	-2.0157	1.0000e-02	1.5000e-02	75	3748768	1.3263e-01	8518	8057649	2.8508e-01	6	2870	1.0154e-04	8.0000	0.0766	0.0704	0.0356
merged	Hotspot_0.999	238	711.6400	0.0000	2366.0000	785.4188	0.3354	-1.5762	4.0000e-01	4.0000e-01	75	3748768	1.3263e-01	852	441389	1.5617e-02	1	238	8.4206e-06	1.3333	0.0063	0.1174	0.0539
merged	Hotspot_0.9	100646	224079.0500	144156.0000	316282.0000	51634.0192	0.4492	-1.1547	1.0000e-02	1.5000e-02	75	3748768	1.3263e-01	85181	147208246	5.2083e+00	54	100646	3.5609e-03	72.0000	2.6848	0.0634	0.0684
merged	Coldspot_0.1	1009279	889281.2900	685029.0000	1133633.0000	135206.8353	1.1349	0.1826	1.7000e-01	2.0400e-01	75	3748768	1.3263e-01	85162	855303584	3.0261e+01	87	1009279	3.5709e-02	116.0000	26.9230	0.1022	0.1180
merged	Coldspot_0.01	521664	221564.9300	132044.0000	333283.0000	68287.6984	2.3544	1.2354	1.0000e-02	1.5000e-02	75	3748768	1.3263e-01	8500	231711737	8.1981e+00	10	521664	1.8457e-02	13.3333	13.9156	0.1176	0.2251
merged	Coldspot_0.001	330052	57856.1300	4660.0000	124290.0000	37910.2315	5.7046	2.5121	1.0000e-02	1.5000e-02	75	3748768	1.3263e-01	834	61111167	2.1621e+00	1	330052	1.1677e-02	1.3333	8.8043	0.1199	0.5401
