track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	Hotspot_0.999	28	3553.1350	1421.0000	5585.0000	1409.2958	0.0082	-6.9373	9.0000e-03	1.3500e-02	39	21720261	8.1100e-01	834	469549	1.7532e-02	1	28	1.0455e-06	2.5641	0.0001	0.1199	0.0060
merged	Hotspot_0.99	11565	52936.2860	24397.0000	75334.0000	16008.6500	0.2185	-2.1944	1.0000e-03	2.0000e-03	39	21720261	8.1100e-01	8344	7648169	2.8557e-01	18	11565	4.3182e-04	46.1538	0.0532	0.2157	0.1512
merged	Hotspot_0.9	412414	965525.4690	564344.0000	1338899.0000	245577.5429	0.4271	-1.2272	1.0000e-03	2.0000e-03	39	21720261	8.1100e-01	83434	135028905	5.0418e+00	228	412414	1.5399e-02	584.6154	1.8988	0.2733	0.3054
merged	Coldspot_0.1	2653657	4064304.4850	3235796.0000	4972300.0000	526243.6253	0.6529	-0.6150	1.0000e-03	2.0000e-03	39	21720261	8.1100e-01	83658	770018278	2.8751e+01	176	2653657	9.9084e-02	451.2821	12.2174	0.2104	0.3446
merged	Coldspot_0.01	1267329	1638936.3350	1307274.0000	2153733.0000	258924.2475	0.7733	-0.3710	2.3000e-02	2.7600e-02	39	21720261	8.1100e-01	8406	204658289	7.6416e+00	13	1267329	4.7320e-02	33.3333	5.8348	0.1547	0.6192
merged	Coldspot_0.001	447609	563451.9940	450021.0000	871302.0000	146803.8408	0.7944	-0.3321	4.7000e-02	4.7000e-02	39	21720261	8.1100e-01	838	55726189	2.0807e+00	2	447609	1.6713e-02	5.1282	2.0608	0.2387	0.8032
