track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNHinvs	annotations_repeats.bed	0	7302.4960	550.0000	20512.0000	6979.7821	0.0001	-12.8344	2.1000e-02	2.1000e-02	27	181549	6.7788e-03	6984	118088047	4.4092e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNHinvs	annotations_repeats.bed	199824	84804.0320	26833.0000	209476.0000	64406.1972	2.3563	1.2365	5.7000e-02	5.7000e-02	49	1151662	4.3001e-02	6984	118088047	4.4092e+00	15	199824	7.4611e-03	30.6122	17.3509	0.2148	0.1692
NHinvs	annotations_repeats.bed	199824	90590.0080	33142.0000	209032.0000	59232.1452	2.2058	1.1413	5.4000e-02	5.4000e-02	76	1333211	4.9780e-02	6984	118088047	4.4092e+00	15	199824	7.4611e-03	19.7368	14.9882	0.2148	0.1692
